Gene_Name	Accession-1	Left-End-Position	Right-End-Position	Product
ypdK	BW25113_RS25205	2490400	2490471	uncharacterized_membrane_protein_YpdK
flgI	BW25113_RS05625	1131730	1132827	flagellar_P-ring_protein
atpB	BW25113_RS19430	3914596	3915411	ATP_synthase_F<sub>o</sub>_complex_subunit_a
yegI	BW25113_RS10810	2142520	2144466	putative_serine/threonine-protein_kinase_YegI
thiH	BW25113_RS20700	4180663	4181796	2-iminoacetate_synthase
dhaL	BW25113_RS06240	1244581	1245213	dihydroxyacetone_kinase_subunit_L
BW25113_RS25940	BW25113_RS25940	2622479	2622631	hypothetical_protein
nirD	BW25113_RS17450	3489910	3490236	nitrite_reductase_(NADH)_small_subunit
rppH	BW25113_RS14715	2961806	2962336	RNA_pyrophosphohydrolase
yidQ	BW25113_RS19170	3861088	3861420	DUF1375_domain-containing_putative_lipoprotein_YidQ
BW25113_RS19715	BW25113_RS19715	3975735	3975811	tRNA-Arg
yeeW	BW25113_RS10475	2071421	2071615	CP4-44_prophage;_putative_uncharacterized_protein_YeeW
rtcA	BW25113_RS17715	3549192	3550208	RNA_3'-terminal_phosphate_cyclase
ydjK	BW25113_RS09290	1853107	1854486	MFS_transporter
nhaA	BW25113_RS00090	17489	18655	Na<sup>+</sup>:H<sup>+</sup>_antiporter_NhaA
idnT	BW25113_RS22140	4481023	4482342	L-idonate/5-ketogluconate/gluconate_transporter
ompW	BW25113_RS06550	1308277	1308915	outer_membrane_protein_W
efeB	BW25113_RS05305	1078832	1080103	heme-containing_peroxidase/deferrochelatase
gudX	BW25113_RS14500	2912765	2914105	glucarate_dehydratase-related_protein
psuT	BW25113_RS11295	2249564	2250814	putative_pseudouridine_transporter
yghG	BW25113_RS15430	3106426	3106836	outer_membrane_pilotin
BW25113_RS24825	BW25113_RS24825	4491177	4491406	transposase_domain-containing_protein
dcuC	BW25113_RS03230	650039	651424	anaerobic_C4-dicarboxylate_transporter_DcuC
ydeA	BW25113_RS08010	1611285	1612475	L-arabinose_exporter
BW25113_RS22250	BW25113_RS22250	4498826	4499610	IS3_family_transposase
trpB	BW25113_RS06575	1311479	1312672	tryptophan_synthase_subunit_&beta;
yrhB	BW25113_RS17835	3578119	3578403	putative_heat_shock_chaperone
ahr	BW25113_RS22160	4485007	4486026	NADPH-dependent_aldehyde_reductase_Ahr
rfbB	BW25113_RS10660	2105457	2106542	dTDP-glucose_4,6-dehydratase_1
proA	BW25113_RS01230	257214	258467	glutamate-5-semialdehyde_dehydrogenase
ppsR	BW25113_RS08915	1781702	1782535	phosphoenolpyruvate_synthetase_regulatory_protein
tolA	BW25113_RS03835	771798	773063	Tol-Pal_system_protein_TolA
phnP	BW25113_RS21255	4304161	4304919	5-phospho-&alpha;-D-ribosyl_1,2-cyclic_phosphate_phosphodiesterase
lacZ	BW25113_RS01765	358942	360069	beta-galactosidase
ligA	BW25113_RS12580	2521520	2523535	DNA_ligase
fucU	BW25113_RS14585	2932247	2932669	L-fucose_mutarotase
yjdC	BW25113_RS21485	4352550	4353125	DNA-binding_transcriptional_regulator_DicD
BW25113_RS01550	BW25113_RS01550	312194	312847	helix-turn-helix_domain-containing_protein
astA	BW25113_RS09140	1823988	1825022	arginine_N-succinyltransferase
