id	gene	flag	first_pos	second_pos	length	quality	essentiel
ECK0001-JW4367	thrL	147	235	143	-142	50M	False
ECK0002-JW0001	thrA	147	2779	290	-2539	50M	False
ECK0003-JW0002	thrB	147	3713	2754	-1009	50M	False
ECK0004-JW0003	thrC	147	5000	3687	-1363	50M	False
ECK0005-JW0004	yaaX	147	5510	5187	-373	50M	False
ECK0006-JW0005	yaaA	147	6457	5654	-853	50M	False
ECK0007-JW0006	yaaJ	147	7957	6500	-1507	50M	False
ECK0008-JW0007	talB	147	9171	8191	-1030	50M	False
ECK0009-JW0008	mog	147	9873	9259	-664	50M	False
ECK0010-JW0009	yaaH	147	10492	9899	-643	50M	False
ECK0011-JW0010	yaaW	147	11354	10614	-790	50M	False
ECK0012-JW5001	htgA	147	11295	10783	-562	50M	False
ECK0013-JW0012	yaaI	147	11784	11353	-481	50M	False
ECK0014-JW0013	dnaK	147	14059	12116	-1993	50M	False
ECK0015-JW0014	dnaJ	147	15278	14121	-1207	50M	False
ECK0017-JW5002	hokC	147	16901	16722	-229	50M	False
ECK0020-JW0018	nhaA	147	18635	17442	-1243	50M	False
ECK0021-JW0019	nhaR	147	19600	18668	-982	50M	False
ECK0024-JW0022	rpsT	147	21076	20786	-340	50M	False
ECK0025-JW5003	yaaY	147	21379	21134	-295	50M	False
ECK0026-JW0023	ribF	147	22328	21360	-1018	50M	True
ECK0027-JW0024	ileS	147	25187	22344	-2893	50M	False
ECK0028-JW0025	lspA	147	25681	25160	-571	50M	True
ECK0029-JW0026	fkpB	147	26255	25779	-526	50M	False
ECK0030-JW0027	ispH	147	27207	26230	-1027	50M	True
ECK0031-JW0028	rihC	147	28187	27246	-991	50M	False
ECK0032-JW0029	dapB	147	29175	28327	-898	50M	True
ECK0033-JW0030	carA	147	30779	29604	-1225	50M	False
ECK0034-JW0031	carB	147	34018	30770	-3298	50M	False
none-JW0032	none	147	34263	34057	-256	50M	False
ECK0035-JW0033	caiF	147	34675	34253	-472	50M	False
ECK0036-JW5004	caiE	147	35369	34752	-667	50M	False
ECK0037-JW0035	caiD	147	36268	35348	-970	50M	False
ECK0038-JW0036	caiC	147	37837	36242	-1645	50M	False
ECK0039-JW0037	caiB	147	39113	37869	-1294	50M	False
ECK0040-JW0038	caiA	147	40384	39215	-1219	50M	False
ECK0041-JW0039	caiT	147	41929	40388	-1591	50M	False
ECK0042-JW0040	fixA	147	43153	42356	-847	50M	False
ECK0043-JW0041	fixB	147	44109	43141	-1018	50M	False
ECK0044-JW0042	fixC	147	45446	44133	-1363	50M	False
ECK0045-JW0043	fixX	147	45730	45416	-364	50M	False
ECK0046-JW0044	yaaU	147	47118	45760	-1408	50M	False
ECK0047-JW0045	kefF	147	47756	47199	-607	50M	False
ECK0048-JW0046	kefC	147	49611	47722	-1939	50M	False
ECK0049-JW0047	folA	147	50282	49776	-556	50M	True
ECK0050-JW0048	apaH	147	51220	50351	-919	50M	False
ECK0051-JW0049	apaG	147	51604	51200	-454	50M	False
ECK0052-JW0050	ksgA	147	52428	51580	-898	50M	False
ECK0053-JW0051	pdxA	147	53414	52398	-1066	50M	False
ECK0054-JW0052	surA	147	54700	53387	-1363	50M	False
ECK0055-JW0053	imp	147	57107	54726	-2431	50M	True
ECK0056-JW0054	djlA	147	58159	57317	-892	50M	False
ECK0057-JW0055	yabP	147	59104	58427	-727	50M	False
ECK0058-JW0056	yabQ	147	59259	59074	-235	50M	True
ECK0059-JW0057	rluA	147	60344	59658	-736	50M	False
ECK0060-JW0058	hepA	147	63262	60329	-2983	50M	False
ECK0061-JW0059	polB	147	65778	63400	-2428	50M	False
ECK0065-JW0063	araC	147	67732	66827	-955	50M	False
ECK0066-JW5005	yabI	147	68582	67842	-790	50M	False
ECK0067-JW0065	thiQ	147	69412	68687	-775	50M	False
ECK0068-JW0066	thiP	147	71006	69369	-1687	50M	False
ECK0069-JW0067	tbpA	147	71965	70955	-1060	50M	False
ECK0070-JW0068	sgrR	147	73784	72102	-1732	50M	False
ECK0072-JW0069	setA	147	75266	74061	-1255	50M	False
ECK0073-JW0070	leuD	147	75938	75306	-682	50M	False
ECK0074-JW0071	leuC	147	77349	75922	-1477	50M	False
ECK0075-JW5807	leuB	147	78446	77325	-1171	50M	False
ECK0076-JW0073	leuA	147	80014	78416	-1648	50M	False
ECK0077-JW0074	leuL	147	80193	80080	-163	50M	False
ECK0078-JW0075	leuO	147	81779	80808	-1021	50M	False
ECK0079-JW0076	ilvI	147	83821	82070	-1801	50M	False
ECK0080-JW0077	ilvH	147	84315	83797	-568	50M	False
ECK0081-JW0078	fruR	147	85499	84468	-1081	50M	False
ECK0082-JW0079	mraZ	147	86559	86074	-535	50M	False
ECK0083-JW0080	mraW	147	87502	86534	-1018	50M	False
ECK0084-JW0081	ftsL	147	87864	87472	-442	50M	True
ECK0085-JW0082	ftsI	147	89646	87853	-1843	50M	True
ECK0086-JW0083	murE	147	91120	89606	-1564	50M	True
ECK0087-JW0084	murF	147	92475	91090	-1435	50M	True
ECK0088-JW0085	mraY	147	93551	92442	-1159	50M	True
ECK0089-JW0086	murD	147	94870	93527	-1393	50M	True
ECK0090-JW0087	ftsW	147	96114	94843	-1321	50M	True
ECK0091-JW0088	murG	147	97178	96084	-1144	50M	True
ECK0092-JW0089	murC	147	98707	97205	-1552	50M	True
ECK0093-JW0090	ddlB	147	99620	98679	-991	50M	False
ECK0094-JW0091	ftsQ	147	100452	99595	-907	50M	True
ECK0095-JW0092	ftsA	147	101711	100422	-1339	50M	True
ECK0096-JW0093	ftsZ	147	102923	101745	-1228	50M	True
ECK0097-JW0094	lpxC	147	103941	102997	-994	50M	True
ECK0098-JW5007	secM	147	104684	104145	-589	50M	True
ECK0099-JW0096	secA	147	107451	104719	-2782	50M	True
ECK0100-JW0097	mutT	147	107900	107484	-466	50M	False
ECK0101-JW5008	yacG	147	108286	108107	-229	50M	False
ECK0102-JW0099	yacF	147	109084	108314	-820	50M	False
ECK0103-JW0100	coaE	147	109704	109057	-697	50M	False
ECK0104-JW0101	guaC	147	110954	109884	-1120	50M	False
ECK0105-JW0102	hofC	147	112209	110980	-1279	50M	False
ECK0106-JW0103	hofB	147	113584	112172	-1462	50M	False
ECK0107-JW0104	ppdD	147	114034	113567	-517	50M	False
ECK0108-JW0105	nadC	147	115130	114210	-970	50M	False
ECK0109-JW0106	ampD	147	115751	115173	-628	50M	False
ECK0110-JW0107	ampE	147	116602	115721	-931	50M	False
ECK0111-JW0108	aroP	147	118036	116636	-1450	50M	False
ECK0112-JW0109	pdhR	147	119323	118532	-841	50M	False
ECK0113-JW0110	aceE	147	122147	119457	-2740	50M	False
ECK0114-JW0111	aceF	147	124054	122135	-1969	50M	False
ECK0115-JW0112	lpd	147	125803	124352	-1501	50M	False
ECK0116-JW0113	yacH	147	127745	125865	-1930	50M	False
ECK0117-JW0114	acnB	147	130679	128055	-2674	50M	False
ECK0118-JW0115	yacL	147	131217	130828	-439	50M	False
ECK0119-JW0116	speD	147	132067	131246	-871	50M	False
ECK0120-JW0117	speE	147	132949	132056	-943	50M	False
ECK0121-JW0118	yacC	147	133402	133028	-424	50M	False
ECK0122-JW0119	cueO	147	135100	133523	-1627	50M	False
ECK0123-JW0120	gcd	147	137710	135293	-2467	50M	False
ECK0124-JW5009	hpt	147	138434	137871	-613	50M	False
ECK0125-JW0122	can	147	139155	138466	-739	50M	True
ECK0126-JW0123	yadG	147	140172	139219	-1003	50M	False
ECK0127-JW0124	yadH	147	140939	140142	-847	50M	False
ECK0128-JW0125	yadI	147	141484	141017	-517	50M	False
ECK0129-JW0126	yadE	147	142777	141521	-1306	50M	False
ECK0130-JW0127	panD	147	143179	142772	-457	50M	False
ECK0131-JW5010	yadD	147	144337	143459	-928	50M	False
ECK0132-JW0129	panC	147	145280	144402	-928	50M	False
ECK0133-JW0130	panB	147	146086	145265	-871	50M	False
ECK0134-JW0131	yadC	147	147438	146173	-1315	50M	False
ECK0135-JW0132	yadK	147	148084	147461	-673	50M	False
ECK0136-JW0133	yadL	147	148716	148084	-682	50M	False
ECK0137-JW0134	yadM	147	149297	148701	-646	50M	False
ECK0138-JW0135	htrE	147	151911	149287	-2674	50M	False
ECK0139-JW0136	ecpD	147	152686	151919	-817	50M	False
ECK0140-JW0137	yadN	147	153368	152757	-661	50M	False
ECK0141-JW0138	folK	147	154217	153711	-556	50M	True
ECK0142-JW5808	pcnB	147	155632	154187	-1495	50M	False
ECK0143-JW5892	yadB	147	156597	155644	-1003	50M	False
ECK0144-JW0141	dksA	147	157089	156607	-532	50M	False
ECK0145-JW0142	sfsA	147	157971	157240	-781	50M	False
ECK0146-JW5011	ligT	147	158516	157959	-607	50M	False
ECK0147-JW0144	hrpB	147	161001	158545	-2506	50M	False
ECK0148-JW0145	mrcB	147	163731	161170	-2611	50M	False
ECK0149-JW0146	fhuA	147	166194	163924	-2320	50M	False
ECK0150-JW0147	fhuC	147	167042	166218	-874	50M	False
ECK0151-JW0148	fhuD	147	167932	167015	-967	50M	False
ECK0152-JW0149	fhuB	147	169911	167902	-2059	50M	False
ECK0153-JW0150	hemL	147	171367	170060	-1357	50M	True
ECK0154-JW5012	clcA	147	172995	171658	-1387	50M	False
ECK0155-JW0152	yadR	147	173421	173050	-421	50M	True
ECK0156-JW0153	yadS	147	174109	173459	-700	50M	False
ECK0157-JW0154	btuF	147	174947	174120	-877	50M	False
ECK0158-JW0155	pfs	147	175638	174913	-775	50M	False
ECK0159-JW0156	dgt	147	177221	175677	-1594	50M	False
ECK0160-JW0157	degP	147	178775	177324	-1501	50M	False
ECK0161-JW5013	cdaR	147	180087	178885	-1252	50M	False
ECK0162-JW0159	yaeH	147	180580	180167	-463	50M	False
ECK0163-JW5014	yaeI	147	181275	180715	-610	50M	False
ECK0164-JW0161	dapD	147	182432	181581	-901	50M	True
ECK0165-JW0162	glnD	147	185135	182436	-2749	50M	False
ECK0166-JW0163	map	147	185991	185170	-871	50M	True
ECK0168-JW0164	rpsB	147	187066	186314	-802	50M	True
ECK0169-JW0165	tsf	147	188175	187297	-928	50M	True
ECK0170-JW0166	pyrH	147	189047	188295	-802	50M	True
ECK0171-JW0167	frr	147	189896	189312	-634	50M	True
ECK0172-JW0168	dxr	147	191184	189961	-1273	50M	True
ECK0173-JW0169	ispU	147	192131	191343	-838	50M	True
ECK0174-JW5810	cdsA	147	193001	192117	-934	50M	True
ECK0175-JW0171	yaeL	147	194365	192986	-1429	50M	True
ECK0176-JW0172	yaeT	147	196827	194368	-2509	50M	True
none-JW5015	none	147	196938	196801	-187	50M	False
ECK0177-JW0173	hlpA	147	197434	196922	-562	50M	False
ECK0178-JW0174	lpxD	147	198463	197411	-1102	50M	True
ECK0179-JW0175	fabZ	147	199023	198541	-532	50M	True
ECK0180-JW0176	lpxA	147	199815	199000	-865	50M	True
ECK0181-JW0177	lpxB	147	200963	199788	-1225	50M	True
ECK0182-JW0178	rnhB	147	201556	200933	-673	50M	False
